2019-08-26 21:21:03,b'Men and women with the highest levels of optimism had an 11% to 15% longer life span on average than those who prac\xe2\x80\xa6 https://t.co/oKm2HApkFN'
2019-08-26 21:19:31,b'GOP presidential candidate Joe Walsh says he regrets calling President Obama a Muslim. \xe2\x80\x9cI engaged in this hateful p\xe2\x80\xa6 https://t.co/lb0bZJfq0R'
2019-08-26 21:14:51,"b'Tropical Storm Dorian has intensified in the Atlantic Ocean, whipping 60 mph winds, and could become a hurricane.\xe2\x80\xa6 https://t.co/QL1Hky37PL'"
2019-08-26 21:11:19,b'Ashleigh Barty and Karolina Pliskova survived opening-round matches to advance at the US Open\xe2\x80\xa6 https://t.co/XKdHZjP4ZM'
2019-08-26 21:11:07,"b'California Attorney General Xavier Becerra and Massachusetts Attorney General Maura Healey, along with 18 other sta\xe2\x80\xa6 https://t.co/ccGFzYU4Az'"
2019-08-26 21:10:32,"b'A city council candidate who drew criticism after saying she wanted to keep her town in Michigan a ""white community\xe2\x80\xa6 https://t.co/NdZeZ35nA4'"
2019-08-26 21:02:43,"b'""Voters are just starting to tune in, pay attention, and maybe saying \'Oh maybe Joe Biden isn\'t as inevitable as we\xe2\x80\xa6 https://t.co/A9x7HfTxAw'"
2019-08-26 20:59:00,"b'In a landmark decision, an Oklahoma judge orders pharmaceutical giant Johnson &amp; Johnson to pay $572 million for its\xe2\x80\xa6 https://t.co/SBu9l9hCis'"
2019-08-26 20:57:06,b'Newark is getting a $120 million loan to replace pipes that are contaminating water with lead. Fixing the issue was\xe2\x80\xa6 https://t.co/8XhLHXrLKh'
2019-08-26 20:51:37,"b""Here's why members of the House GOP keep abandoning ship | Analysis by @CillizzaCNN https://t.co/mNUwyg0kMc https://t.co/Hqb2rheFTm"""
2019-08-26 20:43:40,"b'This solo adventurer rode a stand-up paddleboard 2,950 miles from California to Hawaii, becoming first to achieve t\xe2\x80\xa6 https://t.co/40hneXfmDN'"
2019-08-26 20:21:10,"b'The US and Mexico have struck an anti-dumping agreement on tomatoes that makes US growers happy, but might mean hig\xe2\x80\xa6 https://t.co/b5uWSfsORl'"
2019-08-26 20:16:24,"b'BREAKING: In a landmark decision, an Oklahoma judge ordered pharmaceutical giant Johnson &amp; Johnson to pay $572 mill\xe2\x80\xa6 https://t.co/7f9iFqyRdA'"
2019-08-26 20:13:09,b'Jared Sklar found a wake-up call waiting for him when he got home from work one day in May 2018. He opened the frid\xe2\x80\xa6 https://t.co/6oj5WYHWuf'
2019-08-26 20:05:19,"b'The streaming television channel wars encompass everything from known prestige programming behemoths Netflix, Hulu\xe2\x80\xa6 https://t.co/nhL2hUnYSZ'"
2019-08-26 19:56:02,"b'""We should not nuke hurricanes,"" Hillary Clinton tweeted following an Axios report that Trump told Dept. of Homelan\xe2\x80\xa6 https://t.co/5YVY8DGRZp'"
2019-08-26 19:47:58,"b'""Just spread the word around: chess is for anybody.""\n\nThis chess tournament offers kids with disabilities a competi\xe2\x80\xa6 https://t.co/qLl73lg6Wo'"
2019-08-26 19:38:40,"b'Corporate insiders are selling more than they have at any other point during the bull market in stocks, which began\xe2\x80\xa6 https://t.co/ObNZ1gTyKA'"
2019-08-26 19:20:05,"b'""The trailer for \'The Mandalorian\' \xe2\x80\x94 the first live-action \'Star Wars\' TV series \xe2\x80\x94 strikingly looks and feels like\xe2\x80\xa6 https://t.co/na389hS2ZM'"
2019-08-26 19:10:03,b'Officials from France and the United States have reached a compromise on a new French tax on services provided by l\xe2\x80\xa6 https://t.co/9cjSXWcWPF'
2019-08-26 19:00:03,b'Rosa Parks and Sally Ride are getting their very own Barbie dolls https://t.co/IPtR2HlZo7'
2019-08-26 18:58:25,"b'A pumice ""raft"" the size of Manhattan is drifting towards Australia, bringing along with it new marine life that co\xe2\x80\xa6 https://t.co/yQh9yi1EHH'"
2019-08-26 18:50:05,"b""Comedian Eddie Murphy will appear in this season's holiday episode on December 21, marking his first time hosting t\xe2\x80\xa6 https://t.co/AqFhcG9QSc"""
2019-08-26 18:40:05,"b'The FBI received more than 38,000 tips from the public during the first full week of August following the shooting\xe2\x80\xa6 https://t.co/bN9kjIA1UV'"
2019-08-26 18:30:00,"b""The Amazon is on fire. Here's why you should care. https://t.co/nBYejykZie https://t.co/7PGOm4xLRE"""
2019-08-26 18:20:05,b'David Ortiz has hired former Boston Police Commissioner Ed Davis to investigate his shooting at a Dominican nightcl\xe2\x80\xa6 https://t.co/hL5AGKRIIZ'
